archived	default_branch	description	downloaded	name	owner	stars	url
false	master	A git blame plugin for neovim inspired by VS Code's GitLens plugin	Mon Sep 27 05:44:13 PM UTC 2021	blamer.nvim	APZelos	403	https://api.github.com/repos/APZelos/blamer.nvim
false	master	A git blame plugin for neovim inspired by VS Code's GitLens plugin	Mon Sep 27 09:59:41 PM UTC 2021	blamer.nvim	APZelos	404	https://api.github.com/repos/APZelos/blamer.nvim
false	main	Switch between single-line and multiline forms of code	Mon Sep 27 09:59:42 PM UTC 2021	splitjoin.vim	AndrewRadev	1550	https://api.github.com/repos/AndrewRadev/splitjoin.vim
false	master	A colorscheme template that is "lite" on logic for the developer.	Mon Sep 27 09:59:43 PM UTC 2021	nvim-highlite	Iron-E	106	https://api.github.com/repos/Iron-E/nvim-highlite
false	main	Neovim treesitter plugin for setting the commentstring based on the cursor location in a file.	Mon Sep 27 09:59:43 PM UTC 2021	nvim-ts-context-commentstring	JoosepAlviste	272	https://api.github.com/repos/JoosepAlviste/nvim-ts-context-commentstring
false	main	A fast Neovim http client written in Lua	Mon Sep 27 09:59:44 PM UTC 2021	rest.nvim	NTBBloodbath	184	https://api.github.com/repos/NTBBloodbath/rest.nvim
false	main	🦴 A NeoVim plugin for saving your work before the world collapses or you type :qa!	Mon Sep 27 09:59:45 PM UTC 2021	AutoSave.nvim	Pocco81	74	https://api.github.com/repos/Pocco81/AutoSave.nvim
false	main	🦎 A NeoVim plugin for highlighting visual selections like in a normal document editor!	Mon Sep 27 09:59:45 PM UTC 2021	HighStr.nvim	Pocco81	117	https://api.github.com/repos/Pocco81/HighStr.nvim
false	main	🦝 Clean and elegant distraction-free writing for NeoVim.	Mon Sep 27 09:59:46 PM UTC 2021	TrueZen.nvim	Pocco81	286	https://api.github.com/repos/Pocco81/TrueZen.nvim
false	master	:file_folder: The dark powered file explorer implementation for neovim/Vim8	Mon Sep 27 09:59:46 PM UTC 2021	defx.nvim	Shougo	1013	https://api.github.com/repos/Shougo/defx.nvim
false	master	An efficient fuzzy finder that helps to locate files, buffers, mrus, gtags, etc. on the fly for both vim and neovim.	Mon Sep 27 09:59:47 PM UTC 2021	LeaderF	Yggdroot	1672	https://api.github.com/repos/Yggdroot/LeaderF
false	master	A snazzy bufferline for Neovim	Mon Sep 27 09:59:48 PM UTC 2021	bufferline.nvim	akinsho	604	https://api.github.com/repos/akinsho/bufferline.nvim
false	master	Simple templates plugin for Vim 	Mon Sep 27 09:59:48 PM UTC 2021	vim-template	aperezdc	343	https://api.github.com/repos/aperezdc/vim-template
false	master	Brings JetBrains/IntelliJ IDEs magic to Neovim with minimal setup.	Mon Sep 27 09:59:50 PM UTC 2021	Comrade	beeender	156	https://api.github.com/repos/beeender/Comrade
false	master	Tag highlight in neovim	Mon Sep 27 09:59:50 PM UTC 2021	neotags.nvim	c0r73x	127	https://api.github.com/repos/c0r73x/neotags.nvim
false	master	A Vim Window Animation Library	Mon Sep 27 09:59:51 PM UTC 2021	animate.vim	camspiers	184	https://api.github.com/repos/camspiers/animate.vim
false	master	A Vim Automatic Window Resizing Plugin	Mon Sep 27 09:59:52 PM UTC 2021	lens.vim	camspiers	421	https://api.github.com/repos/camspiers/lens.vim
false	master	Asynchronous Clojure Interactive Development	Mon Sep 27 09:59:53 PM UTC 2021	acid.nvim	clojure-vim	149	https://api.github.com/repos/clojure-vim/acid.nvim
true	master	latex live preview - plugin for neovim and vim 8	Mon Sep 27 09:59:55 PM UTC 2021	neotex	donRaphaco	174	https://api.github.com/repos/donRaphaco/neotex
false	main	A markdown preview directly in your neovim.	Mon Sep 27 09:59:56 PM UTC 2021	glow.nvim	ellisonleao	275	https://api.github.com/repos/ellisonleao/glow.nvim
false	master	An asynchronous markdown preview plugin for Vim and Neovim.	Mon Sep 27 09:59:56 PM UTC 2021	vim-markdown-composer	euclio	529	https://api.github.com/repos/euclio/vim-markdown-composer
false	main	🌈  Plugin that creates missing LSP diagnostics highlight groups for color schemes that don't yet support the Neovim 0.5 builtin LSP client.	Mon Sep 27 09:59:57 PM UTC 2021	lsp-colors.nvim	folke	175	https://api.github.com/repos/folke/lsp-colors.nvim
false	main	💻  Dev setup for init.lua and plugin development with full signature help, docs and completion for the nvim lua API.	Mon Sep 27 09:59:58 PM UTC 2021	lua-dev.nvim	folke	199	https://api.github.com/repos/folke/lua-dev.nvim
false	main	✅  Highlight, list and search todo comments in your projects	Mon Sep 27 09:59:58 PM UTC 2021	todo-comments.nvim	folke	454	https://api.github.com/repos/folke/todo-comments.nvim
false	main	🚦 A pretty diagnostics, references, telescope results, quickfix and location list to help you solve all the trouble your code is causing.	Mon Sep 27 09:59:59 PM UTC 2021	trouble.nvim	folke	859	https://api.github.com/repos/folke/trouble.nvim
false	main	🌅  Twilight is a Lua plugin for Neovim 0.5 that dims inactive portions of the code you're editing using TreeSitter.	Mon Sep 27 09:59:59 PM UTC 2021	twilight.nvim	folke	241	https://api.github.com/repos/folke/twilight.nvim
false	main	💥   Create key bindings that stick. WhichKey is a lua plugin for Neovim 0.5 that displays a popup with possible keybindings of the command you started typing.	Mon Sep 27 10:00:00 PM UTC 2021	which-key.nvim	folke	735	https://api.github.com/repos/folke/which-key.nvim
false	main	🧘  Distraction-free coding for Neovim	Mon Sep 27 10:00:01 PM UTC 2021	zen-mode.nvim	folke	243	https://api.github.com/repos/folke/zen-mode.nvim
false	master	A more adventurous wildmenu	Mon Sep 27 10:00:02 PM UTC 2021	wilder.nvim	gelguy	364	https://api.github.com/repos/gelguy/wilder.nvim
false	main	🌌 Next-generation motion plugin with incremental input processing, allowing for unparalleled speed with near-zero cognitive effort	Mon Sep 27 10:00:03 PM UTC 2021	lightspeed.nvim	ggandor	439	https://api.github.com/repos/ggandor/lightspeed.nvim
false	master	vim dashboard	Mon Sep 27 10:00:04 PM UTC 2021	dashboard-nvim	glepnir	607	https://api.github.com/repos/glepnir/dashboard-nvim
false	main	neovim lsp plugin 	Mon Sep 27 10:00:05 PM UTC 2021	lspsaga.nvim	glepnir	969	https://api.github.com/repos/glepnir/lspsaga.nvim
false	master	Interactive Repl Over Neovim	Mon Sep 27 10:00:07 PM UTC 2021	iron.nvim	hkupty	317	https://api.github.com/repos/hkupty/iron.nvim
false	master	Neovim as a TMUX replacement	Mon Sep 27 10:00:08 PM UTC 2021	nvimux	hkupty	325	https://api.github.com/repos/hkupty/nvimux
false	master	A blazing fast and easy to configure neovim statusline plugin written in pure lua.	Mon Sep 27 10:00:08 PM UTC 2021	lualine.nvim	hoob3rt	704	https://api.github.com/repos/hoob3rt/lualine.nvim
false	main	A completion plugin for neovim coded in Lua.	Mon Sep 27 10:00:09 PM UTC 2021	nvim-cmp	hrsh7th	824	https://api.github.com/repos/hrsh7th/nvim-cmp
false	master	Auto completion Lua plugin for nvim	Mon Sep 27 10:00:10 PM UTC 2021	nvim-compe	hrsh7th	1339	https://api.github.com/repos/hrsh7th/nvim-compe
